Event Interest ID,ResponseID,EventName,InterestRating
EvInID_73,ReID_31,Interest_Ev_1,1
EvInID_74,ReID_31,Interest_Ev_2,1
EvInID_75,ReID_31,Interest_Ev_3,3
EvInID_76,ReID_32,Interest_Ev_1,3
EvInID_77,ReID_32,Interest_Ev_2,3
EvInID_78,ReID_32,Interest_Ev_3,3
EvInID_79,ReID_33,Interest_Ev_1,2
EvInID_80,ReID_33,Interest_Ev_2,3
EvInID_81,ReID_33,Interest_Ev_3,3
EvInID_82,ReID_34,Interest_Ev_1,2
EvInID_83,ReID_34,Interest_Ev_2,3
EvInID_84,ReID_34,Interest_Ev_3,1
EvInID_85,ReID_35,Interest_Ev_1,3
EvInID_86,ReID_35,Interest_Ev_2,3
EvInID_87,ReID_35,Interest_Ev_3,3
EvInID_88,ReID_36,Interest_Ev_1,1
EvInID_89,ReID_36,Interest_Ev_2,1
EvInID_90,ReID_36,Interest_Ev_3,3
EvInID_91,ReID_37,Interest_Ev_1,1
EvInID_92,ReID_37,Interest_Ev_2,1
EvInID_93,ReID_37,Interest_Ev_3,
EvInID_94,ReID_38,Interest_Ev_1,1
EvInID_95,ReID_38,Interest_Ev_2,2
EvInID_96,ReID_38,Interest_Ev_3,1
EvInID_97,ReID_39,Interest_Ev_1,1
EvInID_98,ReID_39,Interest_Ev_2,
EvInID_99,ReID_39,Interest_Ev_3,
EvInID_100,ReID_4,Interest_Ev_1,
EvInID_101,ReID_4,Interest_Ev_2,
EvInID_102,ReID_4,Interest_Ev_3,1
EvInID_103,ReID_40,Interest_Ev_1,2
EvInID_104,ReID_40,Interest_Ev_2,3
EvInID_105,ReID_40,Interest_Ev_3,3
EvInID_106,ReID_41,Interest_Ev_1,3
EvInID_107,ReID_41,Interest_Ev_2,3
EvInID_108,ReID_41,Interest_Ev_3,3
EvInID_109,ReID_42,Interest_Ev_1,2
EvInID_110,ReID_42,Interest_Ev_2,3
EvInID_111,ReID_42,Interest_Ev_3,3
EvInID_112,ReID_43,Interest_Ev_1,2
EvInID_113,ReID_43,Interest_Ev_2,2
EvInID_114,ReID_43,Interest_Ev_3,2
EvInID_115,ReID_5,Interest_Ev_1,3
EvInID_116,ReID_5,Interest_Ev_2,3
EvInID_117,ReID_5,Interest_Ev_3,3
EvInID_118,ReID_6,Interest_Ev_1,2
EvInID_119,ReID_6,Interest_Ev_2,3
EvInID_120,ReID_6,Interest_Ev_3,3
EvInID_121,ReID_7,Interest_Ev_1,2
EvInID_122,ReID_7,Interest_Ev_2,3
EvInID_123,ReID_7,Interest_Ev_3,3
EvInID_124,ReID_8,Interest_Ev_1,2
EvInID_125,ReID_8,Interest_Ev_2,2
EvInID_126,ReID_8,Interest_Ev_3,3
EvInID_127,ReID_9,Interest_Ev_1,2
EvInID_128,ReID_9,Interest_Ev_2,2
EvInID_129,ReID_9,Interest_Ev_3,3
